t,value
"Aug 6, 2050",285.54
"Aug 7, 2050",287.178
"Aug 8, 2050",287.805
"Aug 9, 2050",288.908
"Aug 10, 2050",288.269
"Aug 11, 2050",287.587
"Aug 12, 2050",287.049
"Aug 13, 2050",287.095
"Aug 14, 2050",287.862
"Aug 15, 2050",287.694
"Aug 16, 2050",287.933
"Aug 17, 2050",287.804
"Aug 18, 2050",287.008
"Aug 19, 2050",287.44
"Aug 20, 2050",287.578
"Aug 21, 2050",287.217
"Aug 22, 2050",287.111
"Aug 23, 2050",286.608
"Aug 24, 2050",287.864
"Aug 25, 2050",288.038
"Aug 26, 2050",287.007
"Aug 27, 2050",287.699
"Aug 28, 2050",287.813
"Aug 29, 2050",288.197
"Aug 30, 2050",287.827
"Aug 31, 2050",287.43
"Sep 1, 2050",287.805
"Sep 2, 2050",288.311
"Sep 3, 2050",288.175
"Sep 4, 2050",288.067
"Sep 5, 2050",287.641
"Sep 6, 2050",287.015
"Sep 7, 2050",287.348
"Sep 8, 2050",288.023
"Sep 9, 2050",287.447
"Sep 10, 2050",288.042
"Sep 11, 2050",288.11
"Sep 12, 2050",286.744
"Sep 13, 2050",287.545
"Sep 14, 2050",286.675
"Sep 15, 2050",286.735
"Sep 16, 2050",287.687
"Sep 17, 2050",286.651
"Sep 18, 2050",287.421
"Sep 19, 2050",286.792
"Sep 20, 2050",287.981
"Sep 21, 2050",287.534
"Sep 22, 2050",288.646
"Sep 23, 2050",286.969
"Sep 24, 2050",287.371
"Sep 25, 2050",287.544
"Sep 26, 2050",288.199
"Sep 27, 2050",287.426
"Sep 28, 2050",287.459
"Sep 29, 2050",288.243
"Sep 30, 2050",287.886
"Oct 1, 2050",287.5
"Oct 2, 2050",287.124
"Oct 3, 2050",287.222
"Oct 4, 2050",287.008
"Oct 5, 2050",287.91
"Oct 6, 2050",287.315
"Oct 7, 2050",287.466
"Oct 8, 2050",286.962
"Oct 9, 2050",287.726
"Oct 10, 2050",288.147
"Oct 11, 2050",287.822
"Oct 12, 2050",287.752
"Oct 13, 2050",287.525
"Oct 14, 2050",287.534
"Oct 15, 2050",287.787
"Oct 16, 2050",287.645
"Oct 17, 2050",286.984
"Oct 18, 2050",286.772
"Oct 19, 2050",286.738
"Oct 20, 2050",285.708
"Oct 21, 2050",287.599
"Oct 22, 2050",287.483
"Oct 23, 2050",287.015
"Oct 24, 2050",287.176
"Oct 25, 2050",287.89
"Oct 26, 2050",287.701
"Oct 27, 2050",287.603
"Oct 28, 2050",287.179
"Oct 29, 2050",287.227
"Oct 30, 2050",287.943
"Oct 31, 2050",287.811
"Nov 1, 2050",286.635
"Nov 2, 2050",286.846
"Nov 3, 2050",287.171
"Nov 4, 2050",286.26
"Nov 5, 2050",287.461
"Nov 6, 2050",286.293
"Nov 7, 2050",286.872
"Nov 8, 2050",287.056
"Nov 9, 2050",287.173
"Nov 10, 2050",286.337
"Nov 11, 2050",286.496
"Nov 12, 2050",287.061
"Nov 13, 2050",287.176
"Nov 14, 2050",286.63
"Nov 15, 2050",286.528
"Nov 16, 2050",287.237
"Nov 17, 2050",286.516
"Nov 18, 2050",286.439
"Nov 19, 2050",287.678
"Nov 20, 2050",287.294
"Nov 21, 2050",287.172
"Nov 22, 2050",286.705
"Nov 23, 2050",286.534
"Nov 24, 2050",287.531
"Nov 25, 2050",286.564
"Nov 26, 2050",286.35
"Nov 27, 2050",286.084
"Nov 28, 2050",286.441
"Nov 29, 2050",286.915
"Nov 30, 2050",287.424
"Dec 1, 2050",286.873
"Dec 2, 2050",286.725
"Dec 3, 2050",285.557
"Dec 4, 2050",286.283
"Dec 5, 2050",286.603
"Dec 6, 2050",287.66
"Dec 7, 2050",286.736
"Dec 8, 2050",287.241
"Dec 9, 2050",287.695
"Dec 10, 2050",286.761
"Dec 11, 2050",286.862
"Dec 12, 2050",287.514
"Dec 13, 2050",287.337
"Dec 14, 2050",288.499
"Dec 15, 2050",288.28
"Dec 16, 2050",286.496
"Dec 17, 2050",286.9
"Dec 18, 2050",286.491
"Dec 19, 2050",286.452
"Dec 20, 2050",287.207
"Dec 21, 2050",287.147
"Dec 22, 2050",287.123
"Dec 23, 2050",287.132
"Dec 24, 2050",287.377
"Dec 25, 2050",287.27
"Dec 26, 2050",287.21
"Dec 27, 2050",287.799
"Dec 28, 2050",287.755
"Dec 29, 2050",288.099
"Dec 30, 2050",288.133
"Dec 31, 2050",288.424
