t,value
"Aug 6, 2050",0.062
"Aug 7, 2050",3.235
"Aug 8, 2050",4.032
"Aug 9, 2050",4.361
"Aug 10, 2050",7.824
"Aug 11, 2050",5.729
"Aug 12, 2050",0.076
"Aug 13, 2050",0.715
"Aug 14, 2050",2.572
"Aug 15, 2050",1.035
"Aug 16, 2050",1.014
"Aug 17, 2050",2.395
"Aug 18, 2050",3.491
"Aug 19, 2050",9.347
"Aug 20, 2050",11.385
"Aug 21, 2050",1.379
"Aug 22, 2050",1.319
"Aug 23, 2050",0.035
"Aug 24, 2050",4.93
"Aug 25, 2050",0.0
"Aug 26, 2050",1.603
"Aug 27, 2050",8.79
"Aug 28, 2050",9.074
"Aug 29, 2050",8.267
"Aug 30, 2050",5.417
"Aug 31, 2050",1.917
"Sep 1, 2050",5.37
"Sep 2, 2050",6.637
"Sep 3, 2050",6.278
"Sep 4, 2050",5.059
"Sep 5, 2050",4.59
"Sep 6, 2050",0.0
"Sep 7, 2050",0.702
"Sep 8, 2050",1.239
"Sep 9, 2050",5.308
"Sep 10, 2050",0.089
"Sep 11, 2050",3.178
"Sep 12, 2050",0.0
"Sep 13, 2050",0.387
"Sep 14, 2050",0.0
"Sep 15, 2050",0.421
"Sep 16, 2050",2.094
"Sep 17, 2050",0.52
"Sep 18, 2050",1.254
"Sep 19, 2050",0.773
"Sep 20, 2050",0.413
"Sep 21, 2050",1.831
"Sep 22, 2050",8.114
"Sep 23, 2050",9.512
"Sep 24, 2050",8.123
"Sep 25, 2050",10.127
"Sep 26, 2050",6.767
"Sep 27, 2050",3.948
"Sep 28, 2050",3.734
"Sep 29, 2050",2.612
"Sep 30, 2050",1.236
"Oct 1, 2050",0.0
"Oct 2, 2050",0.247
"Oct 3, 2050",2.923
"Oct 4, 2050",2.293
"Oct 5, 2050",6.63
"Oct 6, 2050",6.681
"Oct 7, 2050",0.301
"Oct 8, 2050",0.475
"Oct 9, 2050",0.145
"Oct 10, 2050",1.378
"Oct 11, 2050",5.095
"Oct 12, 2050",1.399
"Oct 13, 2050",6.658
"Oct 14, 2050",10.46
"Oct 15, 2050",7.015
"Oct 16, 2050",2.978
"Oct 17, 2050",0.666
"Oct 18, 2050",5.343
"Oct 19, 2050",0.0
"Oct 20, 2050",0.0
"Oct 21, 2050",8.335
"Oct 22, 2050",13.371
"Oct 23, 2050",18.963
"Oct 24, 2050",5.258
"Oct 25, 2050",7.394
"Oct 26, 2050",5.66
"Oct 27, 2050",0.398
"Oct 28, 2050",0.0
"Oct 29, 2050",0.0
"Oct 30, 2050",3.636
"Oct 31, 2050",6.555
"Nov 1, 2050",13.591
"Nov 2, 2050",1.509
"Nov 3, 2050",0.111
"Nov 4, 2050",0.0
"Nov 5, 2050",2.762
"Nov 6, 2050",23.569
"Nov 7, 2050",7.465
"Nov 8, 2050",19.212
"Nov 9, 2050",8.527
"Nov 10, 2050",20.542
"Nov 11, 2050",5.689
"Nov 12, 2050",13.428
"Nov 13, 2050",13.674
"Nov 14, 2050",13.994
"Nov 15, 2050",6.903
"Nov 16, 2050",12.058
"Nov 17, 2050",12.304
"Nov 18, 2050",4.087
"Nov 19, 2050",10.049
"Nov 20, 2050",7.898
"Nov 21, 2050",5.801
"Nov 22, 2050",6.872
"Nov 23, 2050",0.708
"Nov 24, 2050",4.096
"Nov 25, 2050",1.342
"Nov 26, 2050",0.275
"Nov 27, 2050",2.952
"Nov 28, 2050",0.0
"Nov 29, 2050",4.12
"Nov 30, 2050",2.506
