P,ETP,Q
0.5,3.65,0.9
0,3.65,0.9
0,3.65,1
0,3.65,1
0,3.65,0.9
0,3.65,0.9
0,3.65,1.3
0,3.65,2.2
0.4,3.65,2.7
0,3.65,1.4
0.7,3.65,1.3
0.5,3.65,1.3
0,3.65,1.3
2.2,3.65,1.3
0,3.65,1.2
0,3.65,1.1
0,3.65,0.9
0,3.65,0.7
1,3.65,0.6
12.9,3.65,0.7
12,3.65,0.9
5.1,3.65,0.9
53.4,3.79,1.5
21.3,3.79,3.9
0,3.79,1.6
0.6,3.79,1.3
0,3.79,1.2
0,3.79,1.1
0.6,3.79,0.9
0.8,3.79,0.8
6.2,3.79,0.8
6,3.79,1.1
2.8,3.79,1.7
20.8,3.79,1.2
0.7,3.79,1.1
0,3.79,0.9
0,3.79,0.6
0,3.79,0.6
0,3.79,0.6
0.5,3.79,0.6
0.4,3.79,0.6
13.7,3.79,0.9
10.8,3.79,2.3
1,3.79,2.3
4.4,3.79,1.3
3.4,3.79,2.9
1.2,3.79,3
0.4,3.79,1.3
9.5,3.79,1.4
0,3.79,1.9
0,3.79,1.3
20.8,3.79,1.3
1.7,3.65,0.9
24.6,3.65,1.3
4.7,3.65,3.4
22.2,3.65,3
24.2,3.65,9.2
6.2,3.65,3.4
0,3.65,1.8
0,3.65,1.3
3,3.65,1
31.4,3.65,3.9
1.5,3.65,2.9
14.6,3.65,1.3
3.4,3.65,1.4
5.4,3.65,1.9
19.8,3.65,8.4
1.1,3.65,6.5
5.2,3.65,5.3
0.9,3.65,8.5
16.3,3.65,3.6
2.2,3.65,5
1,3.65,3.8
0,3.65,2.3
1.3,3.65,1.9
3.6,3.65,1.9
6.5,3.65,1.9
5.3,3.65,1.9
10.6,3.65,4.4
3.5,3.65,1.9
6.2,3.65,6.3
6,3.65,10.3
0,3.65,6.2
0,3.59,2.9
0,3.59,3.4
9.9,3.59,3.4
0,3.59,2.3
0,3.59,1.5
0,3.59,1.3
1.7,3.59,1.5
0,3.59,1.3
18.7,3.59,1.5
2.6,3.59,2
0,3.59,1.3
28.1,3.59,1.6
13.2,3.59,2.9
1,3.59,3.1
0,3.59,2.1
0,3.59,1.9
0.7,3.59,1.6
0,3.59,1.5
1.1,3.59,1.6
0,3.59,1.5
2.4,3.59,1.5
14.2,3.59,2.4
5.4,3.59,1.8
0,3.59,1.3
0,3.59,1.6
0,3.59,1.5
0,3.59,1.3
0,3.59,1.2
0,3.59,1.2
0,3.59,1.1
0,3.17,0.9
0,3.17,0.9
0,3.17,0.8
0,3.17,0.9
0,3.17,0.9
0,3.17,1
0,3.17,1.1
0,3.17,1.1
0,3.17,0.9
0,3.17,0.7
0,3.17,0.6
0,3.17,0.6
1.3,3.17,0.6
0,3.17,0.6
0,3.17,0.7
0.4,3.17,0.6
0,3.17,0.6
0,3.17,0.6
0,3.17,0.7
0,3.17,0.6
0,3.17,0.6
0,3.17,0.6
0.3,3.17,0.6
0,3.17,0.5
0,3.17,0.5
0,3.17,0.5
0,3.17,0.5
17.2,3.17,0.5
0,3.17,0.5
0,3.17,0.5
0.4,3.17,0.5
0,3.14,0.8
0,3.14,0.8
0,3.14,0.8
0,3.14,0.8
0,3.14,0.8
0,3.14,0.8
0,3.14,0.8
0.3,3.14,0.8
4.1,3.14,0.8
0,3.14,0.8
0,3.14,0.7
0,3.14,0.7
0,3.14,0.7
0,3.14,0.7
0,3.14,0.6
0,3.14,0.5
0,3.14,0.5
7.2,3.14,0.5
0.9,3.14,0.4
2.2,3.14,0.9
1.1,3.14,0.9
6.4,3.14,0.8
0,3.14,0.7
0,3.14,0.7
0,3.14,0.7
0.6,3.14,0.7
0,3.14,0.7
0,3.14,0.7
0,3.14,0.7
0,3.14,0.5
0,3.14,0.5
0,3.34,0.5
0,3.34,0.5
0,3.34,0.5
0,3.34,0.5
0,3.34,0.5
0,3.34,0.5
0.9,3.34,0.5
0,3.34,0.5
0,3.34,0.5
0,3.34,0.5
0,3.34,0.5
0.9,3.34,0.3
0,3.34,0.5
1.7,3.34,0.5
0,3.34,0.5
0,3.34,0.5
0,3.34,0.4
0,3.34,0.4
0,3.34,0.4
0,3.34,0.5
0,3.34,0.5
1.9,3.34,0.5
0,3.34,0.5
0,3.34,0.5
0,3.34,0.5
0,3.34,0.5
0,3.34,0.5
0,3.34,0.5
0,3.4,0.5
0,3.4,0.5
0,3.4,0.5
10.7,3.4,0.5
0,3.4,0.7
0,3.4,0.6
0,3.4,0.5
0,3.4,0.5
0,3.4,0.5
0,3.4,0.5
0,3.4,0.5
0,3.4,0.4
1.7,3.4,0.3
0,3.4,0.3
0.3,3.4,0.3
3.3,3.4,0.3
5,3.4,0.3
0,3.4,0.3
0,3.4,0.6
0.3,3.4,0.5
0,3.4,0.5
0,3.4,0.5
0,3.4,0.5
0.1,3.4,0.5
0,3.4,0.5
0,3.4,0.5
0,3.4,0.5
0,3.4,0.5
0,3.4,0.5
22.3,3.4,0.5
2.1,3.4,0.5
0.3,3.54,0.5
6,3.54,0.5
16,3.54,0.5
5.7,3.54,0.7
2,3.54,0.7
1.1,3.54,1.5
0.3,3.54,1.3
1.5,3.54,0.7
0.2,3.54,0.6
0,3.54,0.5
0,3.54,0.5
0,3.54,0.4
0,3.54,0.3
0,3.54,0.3
0,3.54,0.3
0,3.54,0.3
0,3.54,0.3
0,3.54,0.3
0,3.54,0.3
0,3.54,0.3
0,3.54,0.3
2.7,3.54,0.3
1.6,3.54,0.3
6.1,3.54,0.3
3.8,3.54,0.6
0,3.54,0.5
0,3.54,0.5
2.2,3.54,0.3
0,3.54,0.3
19.4,3.54,0.3
2.4,3.12,1.2
0.2,3.12,0.9
8.1,3.12,1.5
3.9,3.12,2.9
8.3,3.12,1.5
0.4,3.12,1.4
1.5,3.12,1
0,3.12,0.5
1,3.12,0.5
0,3.12,0.5
0,3.12,0.5
0,3.12,0.5
1.1,3.12,0.5
0,3.12,0.4
2.2,3.12,0.4
9.6,3.12,0.4
1.9,3.12,1.2
3,3.12,1.2
4.1,3.12,0.5
6.9,3.12,0.7
17.8,3.12,3.2
5.2,3.12,1.7
21.9,3.12,1.3
6.4,3.12,5.3
1.5,3.12,5.3
20.5,3.12,3.8
2.3,3.12,4.2
0,3.12,3.3
0,3.12,2.7
0,3.12,1.8
0,3.12,0.8
0,3.37,0.5
0,3.37,0.5
11,3.37,0.5
11.4,3.37,0.4
9.8,3.37,0.4
0.2,3.37,0.8
12.5,3.37,0.9
4.2,3.37,0.9
0,3.37,0.9
0,3.37,0.8
0.9,3.37,0.8
0,3.37,2.5
0,3.37,0.8
0,3.37,0.7
0,3.37,0.7
0,3.37,0.7
0.6,3.37,0.7
0,3.37,0.7
33,3.37,0.7
0.3,3.37,0.8
0,3.37,0.7
0.4,3.37,0.7
4.9,3.37,0.7
0,3.37,0.7
0,3.37,0.7
0,3.37,0.7
0,3.37,0.7
0,3.37,0.6
0,3.37,0.6
0,3.37,0.6
0,3.36,0.5
0,3.36,0.5
0,3.36,0.5
0,3.36,0.5
0,3.36,0.5
0,3.36,0.5
0,3.36,0.5
0.2,3.36,0.5
0,3.36,0.5
0,3.36,0.5
0,3.36,0.5
0,3.36,0.9
0,3.36,0.6
0,3.36,0.7
0,3.36,0.7
3.9,3.36,0.7
5.7,3.36,0.9
5.4,3.36,1.2
2.3,3.36,1.5
1.7,3.36,1.5
0,3.36,0.8
0.2,3.36,0.8
0,3.36,0.7
0,3.36,0.7
0,3.36,0.7
0.9,3.36,0.6
0,3.36,0.6
1.1,3.36,0.5
0,3.36,0.5
0,3.36,0.5
2.4,3.36,0.5
2.7,3.65,0.9
3.1,3.65,0.8
9.4,3.65,0.9
0,3.65,0.7
0.7,3.65,0.8
0,3.65,0.8
0,3.65,0.6
0,3.65,0.6
0,3.65,0.6
0,3.65,0.5
0,3.65,0.4
2,3.65,0.4
0,3.65,0.4
0,3.65,0.4
0,3.65,0.4
0,3.65,0.4
0.7,3.65,0.3
0.4,3.65,0.3
0,3.65,0.3
0,3.65,0.2
0,3.65,0.2
2.5,3.65,0.2
1.2,3.65,0.5
0,3.65,0.5
9.8,3.65,0.5
0,3.65,0.4
0.4,3.65,0.4
5.9,3.65,0.3
0,3.65,0.3
0,3.65,0.3
0,3.65,0.3
0,3.79,0.2
1.3,3.79,0.2
3,3.79,0.4
0.1,3.79,0.4
1.5,3.79,0.4
11.9,3.79,0.7
0,3.79,0.9
0,3.79,0.7
0.8,3.79,0.7
0,3.79,0.5
0,3.79,0.4
0,3.79,0.4
10,3.79,0.5
8.2,3.79,0.4
17.6,3.79,1.5
0.7,3.79,4.3
0,3.79,1.3
0,3.79,0.7
3.4,3.79,0.7
0,3.79,0.7
2.9,3.79,0.7
10,3.79,0.6
1.3,3.79,0.5
9.4,3.79,0.6
0,3.79,0.5
0,3.79,0.5
0,3.79,0.5
13.4,3.79,0.9
30,3.79,1.7
1.6,3.79,9.1
17.8,3.65,3
5.7,3.65,3.8
27.3,3.65,5.1
6.2,3.65,10.5
11.8,3.65,3.9
7.8,3.65,3.4
0.7,3.65,3
1.6,3.65,2.8
8,3.65,3
41.9,3.65,2.8
11.2,3.65,5.8
0.2,3.65,6.9
7.7,3.65,3.8
15.9,3.65,5.4
10.7,3.65,5.4
15,3.65,3.8
11.2,3.65,4
5.8,3.65,5.1
2.2,3.65,6.4
4.4,3.65,5.1
0,3.65,4.2
2.3,3.65,3.2
3.5,3.65,1.9
0,3.65,1.4
0,3.65,1.7
0,3.65,1.7
6.9,3.65,1.8
11.5,3.65,4.7
17,3.65,11.6
21.7,3.65,12.4
16.4,3.65,10.6
41.4,3.59,10.3
1.5,3.59,14.3
1.1,3.59,6.7
7.5,3.59,6.5
10.5,3.59,6.4
15.5,3.59,6.8
0,3.59,3.9
0,3.59,3.1
0,3.59,2.6
0,3.59,2.4
0,3.59,2.2
0,3.59,2
0,3.59,2
0,3.59,1.9
0,3.59,1.7
0,3.59,1.5
0,3.59,1.5
0,3.59,1.4
0.5,3.59,1.3
17.8,3.59,1.3
15.8,3.59,3.7
0,3.59,4.9
0,3.59,3.4
6.8,3.59,5.7
1.3,3.59,4.7
1.7,3.59,2.6
10,3.59,3.4
1.8,3.59,2.6
0.9,3.59,3.2
15.1,3.59,3.2
0.6,3.17,5.3
0,3.17,3.3
0,3.17,2.6
11.4,3.17,2.9
16.7,3.17,3.4
2,3.17,5.7
0.7,3.17,3.6
21.5,3.17,3.5
2.5,3.17,3.2
0,3.17,2.7
0,3.17,2.3
0,3.17,2.1
0,3.17,2
0,3.17,1.9
0,3.17,0.7
0,3.17,0.7
0,3.17,0.7
0,3.17,0.7
0,3.17,0.7
0,3.17,1.7
0,3.17,1.5
0,3.17,1.4
0,3.17,1.4
0,3.17,1.4
0,3.17,1.4
0,3.17,1.4
0,3.17,1.4
0.2,3.17,1.4
4.9,3.17,1.4
0,3.17,1.5
0,3.17,1.4
0,3.14,1.4
0,3.14,1.2
0,3.14,1.2
0,3.14,1.3
0,3.14,1.2
0,3.14,1.2
0,3.14,1.2
0,3.14,1.2
0,3.14,1.2
0,3.14,1.2
0,3.14,1.2
0,3.14,1.2
0,3.14,1.1
0,3.14,1
2.4,3.14,1
0,3.14,1.1
0,3.14,1
0,3.14,1
0,3.14,1
0,3.14,1
0,3.14,0.9
0,3.14,0.9
0,3.14,0.9
0,3.14,0.9
0,3.14,0.9
0,3.14,0.9
0.7,3.14,0.9
0,3.14,0.9
9.4,3.14,0.9
7.3,3.14,0.9
0,3.14,0.9
0,3.34,0.9
0,3.34,0.9
8.9,3.34,0.9
4.1,3.34,0.9
2.9,3.34,1.6
6,3.34,1.2
0.5,3.34,1.2
0,3.34,1
11.2,3.34,0.9
1.5,3.34,1.3
0,3.34,1
3,3.34,1
0,3.34,0.9
3.5,3.34,0.9
0,3.34,0.9
0,3.34,0.9
0,3.34,0.8
0,3.34,0.8
0,3.34,0.8
0,3.34,0.8
0,3.34,0.8
0,3.34,0.8
2.1,3.34,0.8
1.6,3.34,1.1
19,3.34,1.3
5.2,3.34,1.4
8.2,3.34,1
0.5,3.34,1.2
0,3.34,0.9
0,3.4,0.8
0,3.4,0.8
0,3.4,0.8
0,3.4,0.8
0,3.4,0.8
0,3.4,0.8
0,3.4,0.7
0,3.4,0.7
0,3.4,0.7
0,3.4,0.7
0,3.4,0.7
0,3.4,0.7
9.3,3.4,0.8
9.2,3.4,0.8
0,3.4,0.9
0,3.4,0.8
0,3.4,0.7
0,3.4,0.7
0,3.4,0.7
0,3.4,0.7
0,3.4,0.6
0,3.4,0.6
0,3.4,0.6
0,3.4,0.6
0,3.4,0.6
0,3.4,0.6
0,3.4,0.6
0,3.4,0.6
4.1,3.4,0.6
13.9,3.4,0.7
3.4,3.4,1.3
3.6,3.54,2.1
4.4,3.54,1.2
5.8,3.54,1.4
0,3.54,1.7
3.4,3.54,1.6
13.7,3.54,1.3
2,3.54,1.2
6.7,3.54,1.9
9.4,3.54,1.2
7,3.54,1.5
40,3.54,3.4
0.4,3.54,5
2.6,3.54,2.1
0,3.54,1.8
0,3.54,1.4
0,3.54,1.1
0,3.54,1.4
0,3.54,0.8
0,3.54,0.8
0,3.54,0.8
7.9,3.54,0.8
1.4,3.54,0.7
0.1,3.54,0.7
0.5,3.54,0.6
0,3.54,0.7
0.9,3.54,0.6
0,3.54,0.5
0.6,3.54,0.5
1.5,3.54,0.6
3.5,3.54,0.7
6,3.12,0.7
33,3.12,3
1.7,3.12,5.8
0,3.12,1.8
1.6,3.12,1.5
0.6,3.12,1.2
0,3.12,1.2
4.5,3.12,1.2
0,3.12,0.8
4.2,3.12,0.8
0.5,3.12,0.7
0,3.12,0.8
6.3,3.12,0.7
0.8,3.12,0.8
4.4,3.12,0.9
0.1,3.12,2.1
0.5,3.12,1.2
0,3.12,0.9
0,3.12,0.8
0,3.12,1.3
0,3.12,0.7
0,3.12,0.5
0.3,3.12,0.5
0,3.12,0.8
0.1,3.12,0.7
0,3.12,1
0,3.12,0.8
0,3.12,0.7
1.1,3.12,0.7
8.6,3.12,0.8
4.2,3.12,1.2
3.7,3.37,0.8
2,3.37,1.4
4,3.37,2.8
0,3.37,3
0,3.37,2
0,3.37,1.3
0,3.37,0.9
0,3.37,0.8
0,3.37,0.8
3.8,3.37,1.3
0,3.37,1.5
12.1,3.37,1.8
2.6,3.37,1.2
4.9,3.37,2.4
5.9,3.37,1.9
3.4,3.37,2.5
0.4,3.37,1.2
0.3,3.37,1.4
2.6,3.37,1.2
1.2,3.37,1.2
0,3.37,1.1
0,3.37,1
1.7,3.37,1
18.4,3.37,1.3
7.9,3.37,1.5
7.5,3.37,5.3
0,3.37,2
0,3.37,1.7
3.5,3.37,1.6
0.6,3.37,1.6
0,3.36,1.3
4.6,3.36,1.3
0,3.36,2.9
0,3.36,2.2
0,3.36,1.8
7.7,3.36,1.5
1.8,3.36,1.7
0,3.36,2.4
6.8,3.36,1.5
0,3.36,2.6
0,3.36,2.8
1.9,3.36,1.7
0,3.36,1.7
1.9,3.36,1.5
0,3.36,1.2
0,3.36,1.2
0,3.36,1
0,3.36,0.9
0,3.36,0.9
0,3.36,1
0,3.36,0.9
0,3.36,0.8
0.3,3.36,2.1
0,3.36,1.9
2.5,3.36,1.5
0,3.36,1.1
6.7,3.36,1.1
0,3.36,1.7
4.2,3.36,1
0.3,3.36,0.9
0,3.36,0.8
5.5,3.65,1.2
19.7,3.65,1.5
28,3.65,2.7
3.3,3.65,5.6
0.8,3.65,3.6
0.8,3.65,1.9
9.1,3.65,2.8
0.7,3.65,0.8
5.2,3.65,1.7
17.5,3.65,1.8
4.2,3.65,12.3
1.8,3.65,5.4
0.1,3.65,3.2
0,3.65,2.2
2,3.65,2.2
0.2,3.65,2
2.2,3.65,2
12.3,3.65,1.9
13.7,3.65,2.2
0,3.65,2.7
13.7,3.65,3
8.7,3.65,7.3
4.7,3.65,6.4
2.5,3.65,3.8
7.9,3.65,3.6
0.9,3.65,2.9
4.8,3.65,4.7
0.2,3.65,2.8
0,3.65,2
44.6,3.65,2
5.1,3.65,7.3
2.5,3.79,4.5
1.2,3.79,3.6
0.3,3.79,3.6
19.2,3.79,3.5
1.2,3.79,5.2
10.9,3.79,5
3.9,3.79,6.5
16.3,3.79,8.1
27.7,3.79,7
0.5,3.79,6.7
0.1,3.79,4.5
11.8,3.79,7.5
11.6,3.79,6.1
0,3.79,4.7
1.2,3.79,3.5
0,3.79,3.4
0.2,3.79,3.4
19.2,3.79,3.6
3.6,3.79,6.1
0.9,3.79,3.5
0,3.79,2.8
0,3.79,2.7
2.5,3.79,2.6
0,3.79,2.6
0,3.79,2.6
0,3.79,2.1
0.4,3.79,1.9
0,3.79,2
0,3.79,1.9
2.1,3.79,1.9
5.4,3.65,2
0,3.65,1.9
7.5,3.65,2.4
5,3.65,4.3
0,3.65,3.2
15,3.65,2
15,3.65,2
6.9,3.65,4.6
1.4,3.65,5.1
0,3.65,3.2
0,3.65,2.1
0,3.65,2.2
15.4,3.65,2.2
28.3,3.65,2
2.9,3.65,8.4
5.2,3.65,6.4
2,3.65,6.4
5.3,3.65,5.1
0,3.65,4
0,3.65,3.9
11.4,3.65,3.2
3.8,3.65,4.2
0,3.65,3.2
4.3,3.65,3.4
0,3.65,2.8
48.5,3.65,2.8
0.2,3.65,3.9
0.3,3.65,2.7
3.8,3.65,2.3
51,3.65,2.7
21.4,3.65,6.1
0,3.59,3.2
0.9,3.59,3
0,3.59,2.7
0,3.59,2.5
7.8,3.59,2.2
9,3.59,2.2
22.2,3.59,3
30.5,3.59,2.4
5.4,3.59,2.3
28.5,3.59,2.8
13,3.59,2.4
5.2,3.59,4.2
8.1,3.59,4.7
20.1,3.59,2
0.4,3.59,6.4
13.6,3.59,4
0,3.59,9.8
7,3.59,14.3
64.6,3.59,12.1
12,3.59,20.5
24,3.59,12.1
2.6,3.59,9.1
5.4,3.59,11.3
0,3.59,10.8
0,3.59,8.7
0,3.59,8.7
0,3.59,7.3
0,3.59,7
0,3.59,5.8
0,3.59,3.8
0,3.17,3.5
0,3.17,3.6
10,3.17,4
0,3.17,3.4
0,3.17,3.4
0,3.17,3
0,3.17,2.7
1.7,3.17,2.6
0,3.17,2.2
0,3.17,2.2
0,3.17,2.2
0,3.17,2.2
0,3.17,1.9
0,3.17,1.9
0,3.17,1.7
0,3.17,1.5
0,3.17,1.2
0,3.17,0.9
0,3.17,0.9
0,3.17,0.8
0,3.17,0.9
1,3.17,0.9
0,3.17,1.4
0.4,3.17,1.8
1.1,3.17,2.4
3.2,3.17,2.9
0,3.17,2.9
17.1,3.17,1.9
7.1,3.17,2.3
2,3.17,3.4
0,3.17,1.7
