P,ETP,Q
2,3.65,5.7
4.5,3.59,2.6
5.6,3.59,2.7
23.3,3.59,2.7
0,3.59,2.4
0,3.59,1.9
0,3.59,1.6
0,3.59,1.4
0,3.59,1.3
0,3.59,1.3
1.6,3.59,1.1
0,3.59,1.2
0.5,3.59,1.2
0,3.59,1.3
0.5,3.59,1.1
0,3.59,1.2
0,3.59,1.1
6.5,3.59,1.1
0,3.59,1.1
0,3.59,1
0,3.59,0.9
0,3.59,0.9
0,3.59,0.9
1.4,3.59,1
7.5,3.59,1.4
4.6,3.59,1.4
2.7,3.59,1.3
0.7,3.59,1.4
0,3.59,1.2
0,3.59,1
7.5,3.59,0.9
0.5,3.17,1.4
0,3.17,1.1
2.7,3.17,0.9
2.4,3.17,0.9
7.5,3.17,1
0.4,3.17,1.1
3.4,3.17,1.8
18.6,3.17,1.5
0.5,3.17,1.7
7.5,3.17,1.3
3,3.17,1.6
3.4,3.17,1.6
0,3.17,1.3
0.3,3.17,1.2
0,3.17,1.1
1.6,3.17,1.2
2.5,3.17,1.4
4.2,3.17,1.6
1.5,3.17,2.2
0.4,3.17,1.7
0,3.17,1.3
0,3.17,1.1
0,3.17,1.1
0,3.17,1
0.2,3.17,1
0,3.17,0.9
0,3.17,0.9
0,3.17,0.8
0,3.17,0.8
5.9,3.17,0.9
0,3.17,0.9
0,3.14,1.1
2,3.14,1
1.8,3.14,1.4
0,3.14,1
1.1,3.14,0.9
0,3.14,1
0.1,3.14,1.1
2,3.14,1.1
0,3.14,1.1
0,3.14,1
0,3.14,0.9
0,3.14,0.9
1.6,3.14,0.8
0,3.14,0.8
5,3.14,1
8.6,3.14,0.9
0,3.14,0.9
0,3.14,0.9
0.8,3.14,1.1
0,3.14,1
0,3.14,1.1
0,3.14,0.9
0,3.14,0.9
0,3.14,0.9
0,3.14,0.9
0,3.14,0.9
2,3.14,0.8
0,3.14,0.9
0,3.14,0.9
0,3.14,0.8
0,3.14,0.7
0,3.34,0.8
2.2,3.34,0.8
0.6,3.34,1
8.1,3.34,1
5.8,3.34,2
0.5,3.34,1.1
0.6,3.34,1
14,3.34,1.2
2.9,3.34,2.6
0,3.34,1.9
0,3.34,1.1
8.2,3.34,1.1
2.4,3.34,1
4.4,3.34,1
0,3.34,1
0,3.34,0.9
0,3.34,0.9
0,3.34,0.9
0,3.34,0.8
0,3.34,0.8
2.1,3.34,0.9
0,3.34,0.9
0.1,3.34,0.9
0,3.34,0.9
0.3,3.34,0.8
0,3.34,0.9
0,3.34,0.8
0,3.34,0.8
0,3.34,0.7
27.7,3.4,0.9
3.3,3.4,1
0.7,3.4,0.9
0,3.4,1
0,3.4,0.9
0,3.4,0.8
0,3.4,0.7
0,3.4,0.7
0,3.4,0.5
0,3.4,0.6
0,3.4,0.6
0,3.4,0.6
0,3.4,0.6
0,3.4,0.6
0,3.4,0.6
0,3.4,0.6
0,3.4,0.6
3.9,3.4,0.6
0,3.4,0.6
0,3.4,0.6
14,3.4,0.6
0,3.4,1
0,3.4,0.6
0,3.4,0.5
0,3.4,0.6
7.3,3.4,0.6
0,3.4,0.5
0,3.4,0.5
0,3.4,0.6
0,3.4,0.5
0,3.4,0.6
0,3.54,0.6
0,3.54,0.5
0,3.54,0.5
0,3.54,0.5
0,3.54,0.5
0,3.54,0.5
0,3.54,0.5
0,3.54,0.5
0,3.54,0.5
0,3.54,0.6
3.5,3.54,0.6
0,3.54,0.9
8,3.54,0.8
2.2,3.54,0.9
0,3.54,0.7
0,3.54,0.7
0,3.54,0.6
0,3.54,0.6
0,3.54,0.6
0,3.54,0.6
13.9,3.54,1.2
1.2,3.54,0.7
0,3.54,0.6
7.2,3.54,2.2
0,3.54,1.1
0,3.54,0.8
38.2,3.54,0.6
0.9,3.54,2.7
12.4,3.54,1.7
5.8,3.54,3.1
2.7,3.12,3.2
18.1,3.12,3.3
6.3,3.12,2.4
0,3.12,1.8
0,3.12,1.4
0,3.12,0.9
0,3.12,0.9
3,3.12,1.3
2,3.12,1.3
0,3.12,1.3
33.4,3.12,1.2
5.8,3.12,3
23.2,3.12,8
13.5,3.12,5.6
8.5,3.12,5.3
0,3.12,3.6
0,3.12,2.4
0,3.12,1.9
0,3.12,1.7
0.7,3.12,2.1
0,3.12,2.6
0,3.12,2
2,3.12,1.5
1.8,3.12,1.5
9.7,3.12,1.5
4.8,3.12,1.5
1.6,3.12,2.6
0.5,3.12,3.1
0,3.12,2.6
0,3.12,1.9
3.8,3.12,2.4
0.1,3.37,1.7
0,3.37,1.5
0.1,3.37,1.5
0,3.37,1.3
0,3.37,1.4
0.1,3.37,1.4
0,3.37,1.3
2.4,3.37,2.9
0,3.37,2.1
0,3.37,1.4
0,3.37,1.3
0.3,3.37,1.3
0,3.37,1.1
0,3.37,1.6
0.2,3.37,2.8
0,3.37,3
0,3.37,2.6
0.1,3.37,2.3
0,3.37,2.4
0,3.37,1.9
0,3.37,1.5
0,3.37,1.5
0.3,3.37,1.1
0,3.37,2.5
1,3.37,1.8
0,3.37,1.9
0,3.37,1.8
0,3.37,1.8
0,3.37,1.6
0,3.37,1.6
0.3,3.36,1.5
7.1,3.36,1.4
0,3.36,1.5
3,3.36,1.3
0.2,3.36,1.3
0.2,3.36,1.7
1.5,3.36,1.4
0,3.36,1.3
0,3.36,3.4
0,3.36,1.4
0,3.36,2.7
0,3.36,2.1
0.9,3.36,1.1
0.3,3.36,1.6
0,3.36,2.8
0.7,3.36,3
0,3.36,2.6
0,3.36,2.3
0.4,3.36,2.4
0,3.36,1.9
0.2,3.36,1.5
0.7,3.36,1.5
